title,organization,kind,date,status,url,candidateLink,candidates,confidence,notes,participated
TVW Video Voters' Guide,TVW,video,,past,,https://tvw.org/video/2026-video-voters-guide-jaime-michelle-hawk-2026061105/,Jaime Michelle Hawk,high,Candidate-recorded statement in TVW’s statewide video voters’ guide,
TVW Video Voters' Guide,TVW,video,,past,,https://tvw.org/video/2026-video-voters-guide-ian-birk-2026061102/,Ian Birk,high,Candidate-recorded statement in TVW’s statewide video voters’ guide,
TVW Video Voters' Guide,TVW,video,,past,,https://tvw.org/video/2026-video-voters-guide-sean-odonnell-2026061101/,Sean O'Donnell,high,Candidate-recorded statement in TVW’s statewide video voters’ guide,
TVW Video Voters' Guide,TVW,video,,past,,https://tvw.org/video/2026-video-voters-guide-theo-angelis-2026061100/,Theo Angelis,high,Candidate-recorded statement in TVW’s statewide video voters’ guide,
TVW Video Voters' Guide,TVW,video,,past,,https://tvw.org/video/2026-video-voters-guide-dave-larson-2026061099/,Dave Larson,high,Candidate-recorded statement in TVW’s statewide video voters’ guide,
TVW Video Voters' Guide,TVW,video,,past,,https://tvw.org/video/2026-video-voters-guide-debra-l-stephens-2026061097/,Debra L. Stephens,high,Candidate-recorded statement in TVW’s statewide video voters’ guide,
TVW Video Voters' Guide,TVW,video,,past,,https://tvw.org/video/2026-video-voters-guide-todd-a-bloom-2026061212/,Todd A. Bloom,high,Candidate-recorded statement in TVW’s statewide video voters’ guide,
LWV Four Questions Video,League of Women Voters of Washington,video,2026-07-16,past,,https://www.youtube.com/watch?v=v8ovx2TQ3z4,Colleen Melody,high,,
LWV Four Questions Video,League of Women Voters of Washington,video,2026-07-16,past,,https://www.youtube.com/watch?v=uxn3a2n9suc,Scott Edwards,high,,
LWV Four Questions Video,League of Women Voters of Washington,video,2026-07-16,past,,https://www.youtube.com/watch?v=ldDsec5Q9QU,Theo Angelis,high,,
LWV Four Questions Video,League of Women Voters of Washington,video,2026-07-16,past,,https://www.youtube.com/watch?v=ru2nliw8QAg,Todd A. Bloom,high,,
Union-Bulletin Candidate Q&A,Walla Walla Union-Bulletin,questionnaire,2026-07-09,past,,https://www.union-bulletin.com/news/local/elections/q-a-district-16-position-1-candidates-discuss-education-funding-data-centers/article_885a9fba-9518-4ee5-b11f-4b937d67f877.html,Mark Klicker,high,,
Union-Bulletin Candidate Q&A,Walla Walla Union-Bulletin,questionnaire,2026-07-09,past,,https://www.union-bulletin.com/news/local/elections/q-a-district-16-position-1-candidates-discuss-education-funding-data-centers/article_885a9fba-9518-4ee5-b11f-4b937d67f877.html,Kyle Palmer,high,,
Union-Bulletin Candidate Q&A,Walla Walla Union-Bulletin,questionnaire,2026-07-16,past,,https://www.union-bulletin.com/news/local/elections/q-a-district-16-position-2-candidates-discuss-state-budget-education-funding/article_ec1014ef-f8ca-428d-8064-d14d738f7740.html,Skyler Rude,high,,
Union-Bulletin Candidate Q&A,Walla Walla Union-Bulletin,questionnaire,2026-07-16,past,,https://www.union-bulletin.com/news/local/elections/q-a-district-16-position-2-candidates-discuss-state-budget-education-funding/article_ec1014ef-f8ca-428d-8064-d14d738f7740.html,Derek Sarley,high,,
36th District Democrats Interview,36th District Democrats,interview,,past,,https://www.youtube.com/watch?v=xkrNDyVvRLA,Jaime Michelle Hawk,high,Recorded endorsement interview,
36th District Democrats Interview,36th District Democrats,interview,,past,,https://www.youtube.com/watch?v=BtoE_hI6f80,Ian Birk,high,Recorded endorsement interview,
36th District Democrats Interview,36th District Democrats,interview,,past,,https://www.youtube.com/watch?v=dy68GHAfWps,Sean O'Donnell,high,Recorded endorsement interview,
NWPB CD4 Candidate Forum,Northwest Public Broadcasting,forum,2026-09-30T17:30:00-07:00,scheduled,https://www.youtube.com/watch?v=UObV11Qd45w&list=PL6pHcbVJ2q0FBsPPWI3e-qEfNSdVVJwBc,,Amanda McKinney | John Duresky,high,Livestream with AARP Washington and the Leagues of Women Voters of Benton-Franklin and Yakima counties,
AAUW 16th District Forum,AAUW Walla Walla,forum,2026-10-08T18:30:00-07:00,scheduled,https://www.union-bulletin.com/news/local/elections/aauw-to-host-three-nonpartisan-candidate-forums-in-walla-walla/article_bec50905-d413-47bf-9ac5-b21d3ad1fd1c.html,,Mark Klicker | Kyle Palmer | Skyler Rude | Derek Sarley,high,"Walla Walla Community College, 6:30pm, livestreamed; the article names the race, not the roster",
AAUW CD5 Forum at Whitman College,AAUW Walla Walla,forum,2026-09-21T18:30:00-07:00,past,https://www.union-bulletin.com/news/local/elections/walla-walla-candidate-forum-to-feature-congressional-district-5-finalists/article_76987eef-2237-4ff9-be25-221c0ea3a1bd.html,,Michael Baumgartner | Carmela Conroy,high,"Cordiner Hall, with NWPB",
Spokesman-Review CD5 Debate,Spokesman-Review and KSPS,debate,2026-09-08,past,https://www.spokesman.com/stories/2026/sep/12/baumgartner-vs-conroy-congressional-candidates-deb/,,Michael Baumgartner | Carmela Conroy,high,"Bing Crosby Theater, Spokane; aired on KSPS",
KUOW Soundside Interview,KUOW,interview,2026-09-17,past,https://www.kuow.org/topics/soundside/2026-09-17/where-the-candidates-in-was-4th-district-stand-on-immigration-trade-data-centers,,Amanda McKinney | John Duresky,high,,
Moses Lake Chamber CD4 Forum,Moses Lake Chamber of Commerce,forum,2026-07-21,past,https://columbiabasinherald.com/news/2026/jul/29/10-congressional-candidates-outline-priorities-at-moses-lake-forum/,,Amanda McKinney | John Duresky,high,Primary-season forum with the full CD4 field,
Tumbleweird Interview,Tumbleweird,interview,2026-09-09,past,https://tumbleweird.org/john-duresky/,,John Duresky,high,,
VOTE411 Voter Guide,League of Women Voters,guide,,past,https://onyourballot.vote411.org/race-detail.do?id=72589004,,Carmela Conroy,high,,
VOTE411 Voter Guide,League of Women Voters,guide,,past,https://onyourballot.vote411.org/race-detail.do?id=72589004,,Michael Baumgartner,high,Listed but had not responded,no
Jefferson County Bar Supreme Court Forum,Jefferson County Bar Association,forum,2026-08-23,past,https://www.peninsuladailynews.com/2026/08/25/supreme-court-candidates-address-port-townsend-forum/,,Colleen Melody | Scott Edwards | Ian Birk | Sean O'Donnell | Theo Angelis | Dave Larson | Jaime Michelle Hawk,high,Port Townsend; David Stevens did not attend,
Waitsburg Candidate Forum,Waitsburg Commercial Club,forum,2026-07-08,past,https://www.waitsburgtimes.com/story/2026/07/16/news-briefs/successful-candidate-forum-held-in-waitsburg/22386.html,,Mark Klicker | Kyle Palmer | Skyler Rude | Derek Sarley,medium,"Primary-season forum covering 16th LD Pos 1 and 2; the article names the races, not who attended",
Judge the Judges Forum,Northwest Grassroots,forum,2026-07-09,past,https://www.khq.com/news/judge-the-judges-forum-in-spokane-valley-hosts-6-wash-supreme-court-candidates/article_2bfc30ac-8ed1-43d2-9844-cedd82bac82a.html,,Scott Edwards | David Stevens | Sean O'Donnell | Dave Larson | Todd A. Bloom,medium,Hosted by Republican-aligned groups in Spokane Valley,
