Candidate Name,Office,Region,Question Order,Question,Answer,Language,Race URL
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,0,How do you plan on interacting with the citizens of your city?,"Listening to our citizens needs and concerns that are being addressed at the time and seeing how the city can help assist those who need our help. I would also like to help make a difference in  many of the groups that assist the homeless, veterans, and underprivileged citizens of our city.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925430
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,1,What should your city/town’s role be in dealing with environmental issues?,"The city does have to be thoughtful to make sure that we are being environmentally conscientious in all of our projects. We also need to make sure that if any environmental issues arise, we need to have them contained swiftly.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925430
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,3,How do you think your city/town should respond to homelessness?,I'm looking into many options of ways that other cities are handling their problems with the homeless. I think that we could definitely do  better in addressing this problem.,en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925430
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,4,How would you describe your vision for your city?,"I would like to see our tourism economic base expanded, we also need to make sure that we are keeping our crime rate down so our city is safe, making this a great place to live, work, visit and retire.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925430
Brad Klippert,Kennewick City Council Position 4,Kennewick,0,How do you plan on interacting with the citizens of your city?,"I interact with citizens in our city each and every day as a Law Enforcement Officer. As a City Councilman I would want to interact eye to eye, face to face. I would want an open door policy to talk and discuss matters that matter to our citizens.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925430
Brad Klippert,Kennewick City Council Position 4,Kennewick,1,What should your city/town’s role be in dealing with environmental issues?,Kennewick should take its part in environmental issues in common sense ways that are best for the people overall.,en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925430
Brad Klippert,Kennewick City Council Position 4,Kennewick,2,What is your record of public service?,I served 14 years in the House of Representatives for the people of the 8th Legislative District.  I currently am on year 26 of serving the citizens of Benton County as a Deputy for the Benton County Sheriff's Department. I served our county for 34 years in the U.S. Army National Guard.,en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925430
Brad Klippert,Kennewick City Council Position 4,Kennewick,3,How do you think your city/town should respond to homelessness?,"We love the homeless people, we love all people. We want to help the homeless people resolve the issues in their lives so that some day very soon they can be self supportive and no longer homeless.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925430
Brad Klippert,Kennewick City Council Position 4,Kennewick,4,How would you describe your vision for your city?,I want the City of Kennewick to continue to grow and prosper in wise ways that benefit the citizens of Kennewick.,en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925430
Pat Holten,Richland City Council Position 3,Richland,0,How do you plan on interacting with the citizens of your city?,"Having lived in Richland for over 50 years and been involved in a wide range of community activities, I already have deep connections with many residents. As a city council member, I would clearly identify myself in that role and make it a priority to attend public events like Alive at Five, Art in the Park, and neighborhood meetings—not just to be present, but to actively introduce myself and ask people how they feel things are going in the city. I believe in being visible and approachable. I live in a central, well-traveled area of Richland, and I’ve already made my contact information public so that people can easily reach out. My goal is to be a council member people feel comfortable talking to—whether it’s sharing an idea, voicing a concern, or just having a conversation.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=25059066
Pat Holten,Richland City Council Position 3,Richland,1,What should your city/town’s role be in dealing with environmental issues?,"The City of Richland must be a leader in protecting our environment while growing wisely. Having lived here for over 50 years, I value our riverfront, parks, and greenbelts—key to our quality of life. I support practices that reduce waste, protect air and water, and promote clean, affordable transportation. This includes more efficient bus routes to Hanford, PNNL, WSU, and the airport, as well as walkable and bike-friendly neighborhoods. Growth must be thoughtful—preserving green space and neighborhood character. I strongly support clean nuclear energy and new reactor development here in Richland. Environmental concerns also affect public safety, homelessness, and health. We need collaboration with local agencies, and we must involve residents in clean-up efforts, maintenance, and stewardship. Environmental progress must be practical, inclusive, and benefit the entire community. As a council member, I will advocate for policies that protect our natural beauty and build a healthy future",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=25059066
Pat Holten,Richland City Council Position 3,Richland,2,What is your record of public service?,"Over the years, I’ve been actively involved in Richland’s schools through PTA, and by supporting sports and music programs while raising my three children. I’ve also used my background in music to give back by performing in assisted living centers, hospitals, restaurants, and at community events. Politically, I’ve supported good local leadership by recruiting candidates and working on campaigns behind the scenes. I believe good governance begins at the local level with capable, informed people willing to serve. My church involvement has included music and serving on the benevolence committee, helping meet needs in both the congregation and the broader community. Whether through education, civic engagement, music, or acts of compassion, I’ve always believed in stepping forward to serve—and I bring that same spirit of service to my candidacy for Richland City Council.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=25059066
Pat Holten,Richland City Council Position 3,Richland,3,How do you think your city/town should respond to homelessness?,"Homelessness is a complex issue that must be addressed with both compassion and common sense. Providing housing without expectations is not a long-term solution. Many labeled “homeless” have families who want to help but are blocked by untreated addiction, mental illness, or refusal of support. I know families heartbroken by this reality. Solutions must address root causes—not just offer shelter. I support Benton County’s plan to convert the former Kennewick hospital into a facility that combines housing with mental health and addiction services. This coordinated care model helps people move forward, not just shift locations. At the same time, we must preserve the safety and livability of our community. Public spaces must remain safe, and crime cannot be excused as a symptom of homelessness. Addressing this issue requires cooperation from city and county government, law enforcement, mental health providers, and nonprofits. With shared effort, we can serve both people and community well",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=25059066
Pat Holten,Richland City Council Position 3,Richland,4,How would you describe your vision for your city?,"My vision for Richland is a community that grows wisely—preserving what makes it special while planning carefully for the future. Our older, walkable neighborhoods are a great asset, allowing people to walk to stores, parks, and services. I want to protect that livability and work toward creating similar walkable, connected communities in newer parts of the city. With Richland’s rapid growth, we must provide housing and services without overwhelming existing neighborhoods. That means smart development with attention to traffic, safety, schools, parks, and access to shopping—building neighborhoods, not just subdivisions. I also support continued improvement of our waterfront, balancing recreation and environmental protection so all generations can enjoy the river. Richland must remain a place where people feel connected—to each other, to nature, and to opportunity. Supporting good jobs in agriculture, nuclear energy, and science at PNNL is key to our economic and environmental future.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=25059066
Austin Miller,Kennewick City Council Ward 1,Kennewick,0,How do you plan on interacting with the citizens of your city?,"It is important to meet people where they are. People are busy, and it’s easy to forget about the city council—unless it’s in the news for some kind of scandal. I think it’s part of the job to remind people that we are here for them.

Open meetings are a good start, but we can also do more to prioritize outreach. This may look like more social media involvement or canvassing of neighborhoods. I’ve learned that candidates can be really good at knocking on doors when they are running for office, but less enthusiastic during the rest of the term when the goal is to get information about the council to or from the community.

We should also encourage more people to be involved—not just those that stand to gain personally or financially. It’s the job of the city council to inspire the people we serve, be a champion of shared values, and cultivate the desire that people have to support each other.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70744611
Austin Miller,Kennewick City Council Ward 1,Kennewick,1,What should your city/town’s role be in dealing with environmental issues?,"The biggest environmental issues facing us right now may be the toxic algae blooms and PFAs in our groundwater. We should continue to work with other cities and counties to do what we can in terms of mitigation.

Like many concerns, these are things that originated largely outside of our city. To protect our residents, we will need to identify the sources of the contamination. They likely made profits from production, and our people are currently paying the costs. We should do what we can to ensure that those responsible—if even accidently—use some of those profits to support cleanup. We can also petition state and federal governments when necessary, to better regulate businesses with harmful side effects.

Similarly, the decisions we make here may affect others outside of our city. Walkability-focused development may help to mitigate the effects that our cars have on the global environment. More walkability also means less traffic congestion and more opportunities for small businesses",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70744611
Austin Miller,Kennewick City Council Ward 1,Kennewick,2,What is your record of public service?,"I have always been the type of person to say yes when asked for volunteers. Even in fifth grade, I joined the orchestra because they needed someone to play the bass. This attitude has given many chances to learn new skills and to serve. I participated in student leadership in high school and college, planning social events to make sure everyone felt included and serving as treasurer for a student council election. When my kid’s soccer team needed a coach, I stepped in and had a great time.

During my career as an analyst, I served on a healthcare think tank, helped support social media campaigns that were important to me, and provided unpaid economic analysis to engineering projects. I’ve also served on several committees as a teacher including curriculum development, local business support, diversity and inclusion, student affairs, and research ethics.

This year, when I saw a need in our city council, I also said yes. And I’m excited for this new opportunity to serve the city I love.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70744611
Austin Miller,Kennewick City Council Ward 1,Kennewick,3,How do you think your city/town should respond to homelessness?,"Most problems can be solved with more funding, but that is also the one thing that is hardest to come by. As an analyst, I do have a lot of experience finding ways to stretch budgets and use funds more efficiently. But we also need to be open to creative solutions that better use the resources we already have.

With respect to homelessness, I know we are involved in county-level committees that are doing good work in terms of housing opportunities, health services, and drug treatment alternatives. But I’m confident that we can do more.

We should start by inviting people who are experiencing homelessness to participate in the conversation. We should ask them what they need from us, and carefully listen to what they say. We also need to work to remove the stigma of homelessness. Not having a place to live is not a moral failing. It is a challenge that we must face together with compassion and respect.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70744611
Austin Miller,Kennewick City Council Ward 1,Kennewick,4,How would you describe your vision for your city?,"We’re familiar with the old African proverb that says it takes a village to raise a child. It turns out that it takes a village to do a lot more than that. It takes a village to find work-life balance, to help each other learn about new issues with patience and without bias, to find time and energy for growth, and celebration, and art.

National news makes it seem like we have a lot to fight over, but I believe we have more in common than we have disagreements. We all want a safe place for our kids to thrive. We want economic stability. We want to feel loved, accepted, and able to follow our dreams.

Politics and economics don’t have to be about winners and losers. We can work together to support local businesses and side gigs, and build a future Kennewick intentionally focused on modern, responsible growth. I envision a Kennewick that makes room for all of our residents and ensures that the best opportunities are available to as many people as possible.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70744611
David Cole,West Richland City Council Position 3,West Richland,0,How do you plan on interacting with the citizens of your city?,"I will be quick to listen and slow to speak.  More avenues for citizen interaction exist than ever before and I prefer to use all the tools available – personal contact, email, social media, weblinks and such.  I strongly encourage citizens to attend council meetings, either in-person or online.  City government is the level of government that is closest to us and affects us personally.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986759
David Cole,West Richland City Council Position 3,West Richland,1,What should your city/town’s role be in dealing with environmental issues?,"Satisfying burdensome state (HB-1181, GMA, Comprehensive Plan) and federal requirements has become a full-time process for cities.  Sound conservation practices and resource stewardship will ensure responsible management of environmental issues.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986759
David Cole,West Richland City Council Position 3,West Richland,2,What is your record of public service?,"I have a long record of public service, and I believe I should give back to the community that has given me so much.  My service includes:
•	U.S. Navy veteran
•	Law Enforcement Officer – 14 years service in criminal justice system
•	Commissioner – West Richland Salary Commission
•	Elected Precinct Committee Officer – Benton, Clallam County)
•	Board President – Tri Cities Residential Services
•	Board President – You Medical
•	State Committee Officer – Benton County Republican Party",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986759
David Cole,West Richland City Council Position 3,West Richland,3,How do you think your city/town should respond to homelessness?,"This is a serious public safety issue.  Enacting policies that prevent the enabling of behaviors associated with homelessness is the biggest and first step toward addressing the issue.  The heart of the homelessness issue is substance abuse/addiction, mental health issues, and usually both.  Homelessness is a symptom of that – no one in their right mind lives on the street as a way of life.  Needle exchange programs, warming shelters and similar policies are inhumane insofar as they enable dangerous behaviors which contribute to crime and put the public at risk.  I strongly believe that addressing the drug and mental health issues in the community will virtually eliminate “homelessness” as we know it.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986759
David Cole,West Richland City Council Position 3,West Richland,4,How would you describe your vision for your city?,"Our city’s vision statement reads “West Richland is a growing city where family values and community responsiveness are important.  The city should grow in a balanced way to produce a safe and inviting community having good residential and recreation alternatives and a healthy economic base.”  I support that vision and believe it’s the vision that will propel our continued growth.  Thriving, family-friendly neighborhoods and a vibrant, profitable business environment are the key components to maintaining our community.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986759
John Smart,West Richland City Council Position 1,West Richland,0,How do you plan on interacting with the citizens of your city?,"Every council member has a published city e-mail address (jsmart@westrichland.org) that can be used to directly contact.  Alternatively, an e-mail can be sent to the city or city clerk with a request to forward to one or all council members.  There are also two scheduled times on every city council meeting agenda where citizens can directly address council.  Council meetings are held at City Hall at 6pm on every 1st and 3rd Tuesday evenings. There are times when council is advised to not directly address questions from the public to avoid liability on issues that may involve potential contracts or legal actions.  In these cases council is asked by the city administration to refer citizens to our clerk, mayor, or attorney.  But in general, if a response is requested, council members can write back to a citizen, or answer their questions publicly at the next council meeting.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986745
John Smart,West Richland City Council Position 1,West Richland,1,What should your city/town’s role be in dealing with environmental issues?,"West Richland is a good steward of our environment. We have sponsored hazardous waste collection days, we participate in the Growth Management Act planning process, and have won several awards for our sewer processing system.  I will continue to support funding that maintains the pristine environment that West Richland residents enjoy.  I will watch for any industries that may intend to pollute our ground, water, or air.  Our rural and peaceful suburban environment is also a characteristic that I want to protect through careful planning that does not force the “15-minute city” style of development.  I would prefer to see West Richland duplicate the experience residents currently enjoy; while also encouraging commercial centers for future retail and light industrial development. I support the inclusion of “green space” (even if it is just natural desert with a trail) in between developments.  Our kids should be allowed to experience the natural environment near their own home..",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986745
John Smart,West Richland City Council Position 1,West Richland,2,What is your record of public service?,"I have served as a council member in West Richland for ~10years.  Prior to that I attended council meetings regularly, and informally represented our section 6 neighborhood.  My wife and I have led a local American Heritage Girls Christian character building scouting troop for over 20 years. Through that troop we have volunteered for several community organizations including the March of Dimes, 2nd Harvest, Bikes for Tikes, and the Veterans Day Parade.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986745
John Smart,West Richland City Council Position 1,West Richland,3,How do you think your city/town should respond to homelessness?,"Homelessness is largely due to drug use, spiritual illness, and associated unemployment or underemployment.  It is important to maintain policies that forbid panhandling and encampments.  Our City can help by maintaining a business friendly environment that minimizes impediments to business so that jobs stay abundant at every level.  City governments are incorporated to serve the basic municipal needs of its citizens.  Water, Sewer, Roads, Electricity, Waste Disposal, and Law Enforcement are the reasons that citizens allow taxes to be collected.  The City should ensure that private and non-profit efforts to provide charity and assistance to those in need are uninhibited by restrictive ordinances or regulations.  I support a wide range of home development options from townhouses to mini-farms and everything in between.  Only ~7 acres of continuous high density apartment complexes should be developed in one area. Acres of lower density lots must buffer between them.  No future ghettos-",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986745
John Smart,West Richland City Council Position 1,West Richland,4,How would you describe your vision for your city?,"I want West Richland to look like “Freedom!”  Property owners and businesses should be free to develop their interests as they see fit – as long as they do not infringe on their neighbor’s right to enjoy their property. The hidden expense of an over- regulated approach to community development creates a wide-spread and perpetual economic cost. I do not favor the “15 minute City” “Form Based Code” design approach that is currently being pushed. A city of 18,000 people must concentrate on: Water, Sewer, Roads, Electricity, Waste Disposal, and Law Enforcement.  I support current parks and new neighborhood parks that are sponsored by corporate trusts, private trust funds, or neighborhood organizations. We welcome small and large business while maintaining the rural and quiet suburban living that our residents cherish. My vision supports Equine Environments, backyard chickens, and a city where children can play on sidewalks and ride their bicycles around neighborhoods without fear of crime.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986745
Richard Bloom,West Richland City Council Position 4,West Richland,0,How do you plan on interacting with the citizens of your city?,"On a day to day basis in the community and at local events, as well as phone calls and emails.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986768
Richard Bloom,West Richland City Council Position 4,West Richland,1,What should your city/town’s role be in dealing with environmental issues?,"Environmental issues can be characterized as global, national, regional and local.  While global and national issues may be of interest, the City's response should be limited only to areas where the return on investment of local tax dollar is focused primarily on local issues, while being supportive of regional issues.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986768
Richard Bloom,West Richland City Council Position 4,West Richland,2,What is your record of public service?,"In the past, I have served four years in the Navy, as well as, a Cub Scout Master and a Boy Scout Master in the community.  Currently I serve on various boards supporting local environmental issues. Hanford Advisory Board, Mosquito Control Board, Yakima Basin Fish and Wildlife Recovery Board, Ben Franklin Transit Board, and Solid Waste Advisory Committee.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986768
Richard Bloom,West Richland City Council Position 4,West Richland,3,How do you think your city/town should respond to homelessness?,"There are several factors that contribute to homelessness. To the greatest extent in our area, it is not an affordability issue but more attributed to mental health and drug addition.  We need to be supportive of efforts that address these root cause, while supporting short term safety net programs.  A homeless lifestyle needs to be discouraged, not supported.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986768
Richard Bloom,West Richland City Council Position 4,West Richland,4,How would you describe your vision for your city?,"Our bedroom community has grown considerably over the past 20+ years from a population under 4,000 to one exceeding 20,000.  This type of growth can greatly effect the character of the city.  The challenge is to not so much to make what we have better but to not loose what we have.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986768
Braden Sloughter,West Richland City Council Position 4,West Richland,0,How do you plan on interacting with the citizens of your city?,"Residents deserve more than the bare minimum. I’ll prioritize open communication through town halls, workshops, and online Q&As, and advocate to make our city website easier to navigate with plain language explanations of processes and timelines. My goal is to make it simple for neighbors to understand what’s happening and how to get involved.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986768
Braden Sloughter,West Richland City Council Position 4,West Richland,1,What should your city/town’s role be in dealing with environmental issues?,"West Richland’s role is to be practical and proactive. That means maintaining healthy parks and open spaces, planning growth responsibly, and protecting natural resources. Fire safety is also critical, as more homes are built near dry areas, the risk of wildfire grows. We’ve seen those risks increase over the years, and the City needs to prioritize prevention, preparedness, and support for our first responders while working with regional partners on shared challenges like air quality and water supply.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986768
Braden Sloughter,West Richland City Council Position 4,West Richland,2,What is your record of public service?,"I’ve served our community for years on the West Richland Parks & Recreation Board, the Richland Parks & Recreation Commission, the West Richland Planning Commission, and as a board member for the Mid-Columbia Symphony. These roles gave me hands-on experience in how city decisions affect families, neighborhoods, and quality of life.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986768
Braden Sloughter,West Richland City Council Position 4,West Richland,3,How do you think your city/town should respond to homelessness?,"West Richland doesn’t face the scale of homelessness seen in larger cities, but we’re not immune to it. Our role should be to partner with regional providers and nonprofits who specialize in housing and services, while ensuring our local policies support public safety and compassion. We also need to be mindful of affordable housing as we grow. Making sure new development includes options that help families and seniors stay in our community. By planning ahead and collaborating regionally, we can address this challenge before it grows.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986768
Braden Sloughter,West Richland City Council Position 4,West Richland,4,How would you describe your vision for your city?,"My vision is a West Richland that grows smart, keeps its small-town character, and remains a safe, welcoming community for families. That means managing traffic and growth responsibly, investing in parks and infrastructure, keeping taxes low, and making sure citizens always have a voice. We’re at a point where choices today will shape our community for decades, and I believe we can move forward with purpose without losing what makes West Richland special.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986768
Leo Perales,Pasco City Council District 3,Pasco,0,How do you plan on interacting with the citizens of your city?,"The most important part of this job is showing up. I’ve built my reputation on being accessible, transparent, and responsive. I’ve been the most outspoken and responsive councilmember in recent memory because I believe people deserve real communication and results. Whether it’s answering messages on social media, taking calls from residents, or meeting people at their doorstep, I make it a point to stay connected to the community I serve. You can follow me on Facebook, Nextdoor, and YouTube for regular city updates and information. I plan to continue holding open conversations, attending neighborhood meetings, and being visible in every corner of Pasco. People deserve a councilmember who listens and acts, not just one who talks.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70988093
Leo Perales,Pasco City Council District 3,Pasco,1,What should your city/town’s role be in dealing with environmental issues?,"Pasco’s role should be practical and balanced. We should protect our environment while keeping costs reasonable for families and businesses. That means investing in clean water, efficient infrastructure, and sustainable growth practices that make sense locally. I support evidence-based solutions, not costly mandates that hurt affordability. Our focus should be on managing resources wisely and planning smarter for long-term resilience.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70988093
Leo Perales,Pasco City Council District 3,Pasco,2,What is your record of public service?,"I was honored to be elected in 2023 to serve the residents of Pasco’s District 3. For more than 15 years, I’ve been active in the community, serving on Tri-City boards as a Housing Authority and Planning Commissioner and as Chairman of the HAPO Center Advisory Board. I also helped the community heal following the Antonio Zambrano-Montes incident. On the City Council, I’ve maintained perfect attendance and earned both the Certificate and Advanced Certificate of Municipal Leadership from the Association of Washington Cities. I’ve modernized city codes, reformed fees, expanded housing and infrastructure, and strengthened public safety. I’ve championed fiscal responsibility and transparency, earning endorsements from Pasco’s firefighters union, law enforcement, local businesses, and the Tri-City Association of Realtors. For more information, visit www.leo4pasco.com.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70988093
Leo Perales,Pasco City Council District 3,Pasco,3,How do you think your city/town should respond to homelessness?,"We need a balanced approach that combines compassion with accountability. The mental health system has been broken for a long time, and while this issue is mostly handled at the county level, it’s our city that meets people first, those who are unhoused, struggling with addiction, or in crisis. Pasco has made progress with shelter space and outreach programs, but we must do more.

We need to hold people accountable while identifying where the city can step in with structured options like organized encampments or designated areas for overnight parking. The new Columbia Valley Recovery Center will be a major asset, but we must ensure people get the help they need instead of living on our streets. I support connecting individuals to mental health care, addiction recovery, and job opportunities, while enforcing laws that protect public safety. Helping people means setting expectations, offering real help, and keeping Pasco safe and livable for everyone.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70988093
Leo Perales,Pasco City Council District 3,Pasco,4,How would you describe your vision for your city?,"My vision for Pasco is rooted in my Pasco Proud agenda and common-sense leadership that delivers real results. I want a city that’s safe, affordable, and efficient. That means supporting responsible growth, cutting red tape for businesses and development, and making sure growth pays for itself. We must invest in smart infrastructure like the Road 76 Overpass, strengthen public safety, and address homelessness with both compassion and accountability. Fiscal responsibility should guide every decision: no waste, no deficits, no unnecessary government expansion. By focusing on economic development, we can grow our tax base and address our budget deficit without burdening residents. Pasco should remain a community built on family values, accountability, and opportunity. I’m proud of our progress and committed to keeping Pasco strong, safe, and thriving.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70988093
Bryan Verhei,Pasco City Council District 3,Pasco,0,How do you plan on interacting with the citizens of your city?,"I believe good leadership starts with listening. Beyond council meetings, I’m committed to being available to meet with residents one‑on‑one or in small groups to hear concerns directly. Whether it’s over coffee, at a neighborhood gathering, or through community events, I want to create space for open, respectful conversations that help guide my decisions on council.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70988093
