Candidate Name,Office,Region,Question Order,Question,Answer,URL
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"My focus is for our public safety and supporting our Kennewick Police dept to keep the bad drivers and crime off of our streets and of course supporting all of our first responders that risk their lives daily to make sure we have a safe city to live in.I feel that it is our city councils absolute responsibility to spend the taxpayers dollars wisely and to work with the private sector for diversification of our economy, expanding our area to an even better place to live, work and do business in.I believe that we need to do more for our homeless population, possibly work with the private sector in various ways to help solve this problem.","https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,3,What areas of public policy are you personally passionate about?,"Public safety, fiscal responsibility to our taxpayers and the homeless crisis.","https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,4,What qualities does this office possess that makes it a unique and important part of the state government and legal system?,"Our government really starts with our cities, and how they are being run, then it seems to move to our state government for overall consistency.","https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,5,"Is there a book, essay, film, or something else you would recommend to someone who wants to understand your political philosophy?","I don't really have a book, essay or film to refer to. My belief is to run your government with ""common sense""","https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,6,What characteristics or principles are most important for an elected official?,"I think that if you are going to be in public office you need to truly care about the citizens and the city, with also caring about what affects the citizens in their daily lives you represent.","https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,7,What qualities do you possess that you believe would make you a successful officeholder?,I am talented in business and people management,"https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,8,What do you believe are the core responsibilities for someone elected to this office?,Keeping everyone as safe as possible and being fiscally responsible.,"https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,9,What legacy would you like to leave?,"I hope that I feel like I had made a difference in some way, hopefully with my kids and people that I have worked with.","https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,10,What is the first historical event that happened in your lifetime that you remember? How old were you at the time?,"The assignation of President Kennedy, I was 5 years old.","https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,11,What was your very first job? How long did you have it?,"My first job was working at a Artic Circle that my parents owned, I was 14 years old.","https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,12,Are there any little-known powers or responsibilities held by this office that you believe more people should be aware of?,"The city council oversees many departments of our city, police, fire, utilities, road work, parks and major overall budgeting of all of these departments.","https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,13,Do you believe that it's beneficial for holders of this office to have previous experience in government or politics?,"I don't think you really need to be a politician to be in office, but I do believe that you should have a good understanding of management and budgeting.","https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,14,What kind of skills or expertise do you believe would be the most helpful for the holders of this office to possess?,"Diplomacy, business management, accounting, understanding taxes, people management, building management.","https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,15,What qualities does this office possess that makes it a unique and important part of the local government?,"Again the city runs many departments, all are important parts of how our city operates successfully on a daily basis.","https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,16,What are your views on financial transparency and government accountability?,I think all government policies should be run totally transparent and the elected officials that are in charge should be totally accountable for their decisions.,"https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Jason McShane,Kennewick City Council Ward 1,Kennewick,1,Who are you? Tell us about yourself.,"Married father of five, with our family ranging from a recently graduated senior from Southridge High School to a soon to be second grader; we are in the thick of raising our family. I have been a public servant for my professional career, where I enjoy planning for the future and improving my community. In my time on City Council, I have been focused on improving the function of the City while developing plans for the City's future needs. I am an active participant in my church, and enjoy coaching my children's sports teams.","https://ballotpedia.org/Jason_McShane_(Kennewick_City_Council_Ward_1_Position_1,_Washington,_candidate_2025)"
Jason McShane,Kennewick City Council Ward 1,Kennewick,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"I am honored to be considered for election to the Kennewick City Council, Ward 1. With a proven record of integrity, problem-solving, and success, I bring a practical approach focused on cutting red tape and helping citizens achieve their goals. As a married father of five, I understand the everyday challenges families in Kennewick face. It’s essential to keep the city budget lean while creating opportunities for new businesses, supporting job growth, and maintaining the vital public services we rely on. I also believe in expanding access to wholesome, family-oriented activities— entertainment and sporting events—that strengthen our community identity and enrich daily life.I have extensive experience navigating local, state, and federal regulations, which enables me to advocate effectively for practical, community-first and local solutions. Top priorities for Kennewick include maintaining and improving fire and police coverage; enhancing the waterfront, including Columbia Park; enhancing parks and recreational opportunities; revitalizing Downtown; supporting continued development of Vista Field and the Convention Center; and fostering economic growth through thoughtful planning and strong community partnerships.I recognize projects like these require time, persistence, and collaboration. I am excited to continue working alongside citizens and businesses to create lasting success for the City of Kennewick.","https://ballotpedia.org/Jason_McShane_(Kennewick_City_Council_Ward_1_Position_1,_Washington,_candidate_2025)"
Jason McShane,Kennewick City Council Ward 1,Kennewick,3,What areas of public policy are you personally passionate about?,"Fiscal conservatism, growth of businesses and jobs, solid planning with a focus on improving the City for current and future citizens, providing more opportunities for activities and recreation.","https://ballotpedia.org/Jason_McShane_(Kennewick_City_Council_Ward_1_Position_1,_Washington,_candidate_2025)"
Jason McShane,Kennewick City Council Ward 1,Kennewick,4,What characteristics or principles are most important for an elected official?,"Integrity, Honesty, Transparency, Compassion, Thoughtfulness, Patience, Hardworking","https://ballotpedia.org/Jason_McShane_(Kennewick_City_Council_Ward_1_Position_1,_Washington,_candidate_2025)"
Jason McShane,Kennewick City Council Ward 1,Kennewick,5,What do you believe are the core responsibilities for someone elected to this office?,"Focus on Services, Budget, Accountability","https://ballotpedia.org/Jason_McShane_(Kennewick_City_Council_Ward_1_Position_1,_Washington,_candidate_2025)"
Jason McShane,Kennewick City Council Ward 1,Kennewick,6,What was your very first job? How long did you have it?,My first real job was working for the ARC of Tri-Cities at the Partners and Pals summer camp. I worked there during the summers until I graduated from college.,"https://ballotpedia.org/Jason_McShane_(Kennewick_City_Council_Ward_1_Position_1,_Washington,_candidate_2025)"
John Trumbo,Kennewick City Council Ward 3,Kennewick,1,Ballotpedia survey responses,"See also: Ballotpedia's Candidate Connection John Trumbo has not yet completed Ballotpedia's Candidate Connection survey. Who fills out Ballotpedia's Candidate Connection survey? Any candidate running for elected office, at any level, can complete Ballotpedia's Candidate Survey. Completing the survey will update the candidate's Ballotpedia profile, letting voters know who they are and what they stand for. More than candidates have taken Ballotpedia's candidate survey since we launched it in 2015. Learn more about the survey here. Help improve Ballotpedia - send us candidate contact info.","https://ballotpedia.org/John_Trumbo_(Kennewick_City_Council_Ward_3_Position_3,_Washington,_candidate_2025)"
John Trumbo,Kennewick City Council Ward 3,Kennewick,2,Other survey responses,"Ballotpedia identified the following surveys, interviews, and questionnaires Trumbo completed for other organizations. If you are aware of a link that should be added, email us. VoteWA Profile","https://ballotpedia.org/John_Trumbo_(Kennewick_City_Council_Ward_3_Position_3,_Washington,_candidate_2025)"
Loren Anderson,Kennewick City Council Ward 2,Kennewick,1,Ballotpedia survey responses,"See also: Ballotpedia's Candidate Connection Loren Anderson has not yet completed Ballotpedia's Candidate Connection survey. Who fills out Ballotpedia's Candidate Connection survey? Any candidate running for elected office, at any level, can complete Ballotpedia's Candidate Survey. Completing the survey will update the candidate's Ballotpedia profile, letting voters know who they are and what they stand for. More than candidates have taken Ballotpedia's candidate survey since we launched it in 2015. Learn more about the survey here. Help improve Ballotpedia - send us candidate contact info.","https://ballotpedia.org/Loren_Anderson_(Kennewick_City_Council_Ward_2_Position_2,_Washington,_candidate_2025)"
Loren Anderson,Kennewick City Council Ward 2,Kennewick,2,Other survey responses,"Ballotpedia identified the following surveys, interviews, and questionnaires Anderson completed for other organizations. If you are aware of a link that should be added, email us. VoteWA Profile","https://ballotpedia.org/Loren_Anderson_(Kennewick_City_Council_Ward_2_Position_2,_Washington,_candidate_2025)"
Micah Valentine,Kennewick School Board District 1,Kennewick,1,Ballotpedia survey responses,"See also: Ballotpedia's Candidate Connection Micah Valentine has not yet completed Ballotpedia's Candidate Connection survey. Who fills out Ballotpedia's Candidate Connection survey? Any candidate running for elected office, at any level, can complete Ballotpedia's Candidate Survey. Completing the survey will update the candidate's Ballotpedia profile, letting voters know who they are and what they stand for. More than candidates have taken Ballotpedia's candidate survey since we launched it in 2015. Learn more about the survey here. Help improve Ballotpedia - send us candidate contact info.","https://ballotpedia.org/Micah_Valentine_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Micah Valentine,Kennewick School Board District 1,Kennewick,2,Other survey responses,"Ballotpedia identified the following surveys, interviews, and questionnaires Valentine completed for other organizations. If you are aware of a link that should be added, email us. VoteWA ProfileBenton County Republican Party","https://ballotpedia.org/Micah_Valentine_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Nic Uhnak,Kennewick School Board District 2,Kennewick,1,Ballotpedia survey responses,"See also: Ballotpedia's Candidate Connection Nic Uhnak has not yet completed Ballotpedia's Candidate Connection survey. Who fills out Ballotpedia's Candidate Connection survey? Any candidate running for elected office, at any level, can complete Ballotpedia's Candidate Survey. Completing the survey will update the candidate's Ballotpedia profile, letting voters know who they are and what they stand for. More than candidates have taken Ballotpedia's candidate survey since we launched it in 2015. Learn more about the survey here. Help improve Ballotpedia - send us candidate contact info.","https://ballotpedia.org/Nic_Uhnak_(Kennewick_School_District_school_board_Position_2,_Washington,_candidate_2025)"
Nic Uhnak,Kennewick School Board District 2,Kennewick,2,Other survey responses,"Ballotpedia identified the following surveys, interviews, and questionnaires Uhnak completed for other organizations. If you are aware of a link that should be added, email us. VoteWA Profile","https://ballotpedia.org/Nic_Uhnak_(Kennewick_School_District_school_board_Position_2,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,1,Who are you? Tell us about yourself.,"I am a historian, a university professor, a husband, and a proud father of two, one in pre-school and one heading into 1st grade in the fall. I am running to make a difference in my community and to bring a non-partisan voice to the KSB. I am guided by my three core values of knowledge, empathy, and service and strive to lead with those values in my personal and professional life. I will work to ensure that students, faculty, and staff are properly equipped with the resources and programs they need while also making parents feel heard in matters regarding their children's education. I trust that we can balance doing what is best for our children with evidence based practices and programs.","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"ALL students in KSD should feel safe, known, and valued.Students need a variety of supports (mental health) and programs (athletics and non-athletic extra curricular) that enhance their sense of belonging and school performance. Proper support and programs increase retention and graduation rates while preparing students for engage citizenship. Money doesn't grow on trees but our children and schools should have the resources they need to thrive.Politics and the ""culture war"" do not belong in non-partisan positions like the school board.","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,3,What areas of public policy are you personally passionate about?,As a history professor I am passionate about education and curriculum reform and adoption. I am also passionate about preparing students for post-secondary education or trade education - I want students to embrace a lifetime of learning whether they go to college or not. I am also passionate around areas of student belonging in the classroom and in ensuring equitable resources and brought to bear in our classrooms.,"https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,4,"Who do you look up to? Whose example would you like to follow, and why?","I look up to my parents. They weren't perfect, but they were hardworking people who valued knowledge, friendship, and service. In retrospect they instilled in me a value system that I treasure.","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,5,"Is there a book, essay, film, or something else you would recommend to someone who wants to understand your political philosophy?","Wisdom Sits in Places by Keith Basso. It is an academic book yes (I am a historian) that nevertheless has a sense of ""spiritual exploration"" into the role of language and space in our lives.","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,6,What characteristics or principles are most important for an elected official?,"Honesty, willingness to listen to diverse perspectives, and an understanding that public service means serving the entire community. An elected official cannot be everything to everyone, but they should strive listen with kindness and act with integrity.","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,7,What qualities do you possess that you believe would make you a successful officeholder?,"I believe that my study of history, my training to look for multiple causes and diverse perspectives, makes me an excellent candidate because I want to hear multiple opinions and balance those perspectives in decision-making.","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,8,What do you believe are the core responsibilities for someone elected to this office?,"To be non-partisan, to listen to teachers and other professionals about what schools need while balancing the questions and concerns of parents, and to stick to the specific duties of the board.","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,9,What legacy would you like to leave?,One where knowledge and empathy are in abundance.,"https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,10,What is the first historical event that happened in your lifetime that you remember? How old were you at the time?,"Exxon Valdez Oil Spill, I was 8 years old.","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,11,What is the primary job of a school board member in your view?,"To work with teachers, staff, and students to ensure that Kennewick schools are healthy working and learning spaces. More specifically: to set the vision, goals, and ""tone"" of the school district, to establish performance criteria for KSD staff, evaluate teaching materials, and to communicate information about KSD to the community and to take community feedback and concerns under consideration when doing the above. In short, following the letter of Title 28 RCW and guided by our values.","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,12,Who are your constituents?,"Students, teachers, staff, and the parents of the Kennewick School District","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,13,"How would you support the diverse needs of your district’s students, faculty, staff, and community?",By advocating for evidence-based practices that improve student belonging and academic success. This is crucial.,"https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,14,"How will you build relationships with members of the broader community? Which groups, organizations, stakeholders will you specifically target?","The entire community is involved in our children's education. That being said, we should equitably target historically underserved populations who may not have been served with clear communication in the past.","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,15,What constitutes good teaching? How will you measure this? How will you support advanced teaching approaches?,"Good teaching is active and engaged learning, with opportunities for students to try and question new concepts. Resources need to be devoted to assessment and professional development.","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,16,"In what areas would you like to expand curriculum? For example, do you see a need for advanced technical training or apprenticeships? What sort of innovative programming would you advance if given the opportunity?","We need to recognize that students, after leaving High School, generally need additional skills to build a stable career that can support them and their families. Honors programs, college prep, advanced technical training (Tri-Tech), and extracurriculars all need devoted resources in order to function best for students.","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,17,What strategies or plans would you advance to ensure the schools are properly funded?,Identifying mechanisms of support (lobbying) for local and state funding is crucial. No one likes more taxes but we will like underfunded schools even worse.,"https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,18,What principles drive your policies for safety in schools?,The safety of our schools from violence - whether gun violence or disruptive students - is something I worry about constantly. My principles of compassion and concern drive my approach to make schools as safe as possible. While we cannot control all of the world outside the school we can do our best to make students feel safe by supporting mental health and counseling services.,"https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,19,What organizations or individuals have endorsed your campaign?,Washington Education Association,"https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,20,Describe your ideal learning environment for students.,"One where students are safe, known, and valued. One where mental health and counseling support guides students through the challenges of learning and growing.","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,21,What will you do to build a relationship with parents in the district?,"Making sure each parent receives information about important school board decisions through multiple channels, making good use of translation and interpretation services to reach underserved communities, and organize (and attend) family engagement activities.","https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,22,"What are your preferred strategies for faculty, staff, and administration recruitment?",Competitive pay and benefits attract good candidates.,"https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Robert Franklin,Kennewick School Board District 1,Kennewick,23,What are your views on financial transparency and government accountability?,Financial transparency and government accountability are crucial for trust in government and we should demand this from all elected officials.,"https://ballotpedia.org/Robert_Franklin_(Kennewick_School_District_school_board_Position_1,_Washington,_candidate_2025)"
Warren Hughs,Kennewick City Council Ward 3,Kennewick,1,Ballotpedia survey responses,"See also: Ballotpedia's Candidate Connection Warren Hughs has not yet completed Ballotpedia's Candidate Connection survey. Who fills out Ballotpedia's Candidate Connection survey? Any candidate running for elected office, at any level, can complete Ballotpedia's Candidate Survey. Completing the survey will update the candidate's Ballotpedia profile, letting voters know who they are and what they stand for. More than candidates have taken Ballotpedia's candidate survey since we launched it in 2015. Learn more about the survey here. Help improve Ballotpedia - send us candidate contact info.","https://ballotpedia.org/Warren_Hughs_(Kennewick_City_Council_Ward_3_Position_3,_Washington,_candidate_2025)"
Warren Hughs,Kennewick City Council Ward 3,Kennewick,2,Other survey responses,"Ballotpedia identified the following surveys, interviews, and questionnaires Hughs completed for other organizations. If you are aware of a link that should be added, email us. VoteWA Profile","https://ballotpedia.org/Warren_Hughs_(Kennewick_City_Council_Ward_3_Position_3,_Washington,_candidate_2025)"
Amanda Brown,Pasco School Board District 3,Pasco,1,Who are you? Tell us about yourself.,"I am proud to serve as the current president of the Pasco School Board, where I have been a director for the past three years. Alongside my board service, I have been an educator in our region for ten years, teaching in both dual-language and middle school settings. I hold a bachelor’s and master’s degree in education, as well as a principal certificate, which gives me a unique perspective on how decisions made in the boardroom impact classrooms every day. As a teacher, I see firsthand the challenges our students face and the incredible difference that resources, support, and high expectations make in their success. As a board member, I bring that experience into my leadership, working to ensure that our policies are focused on student achievement and equity. My commitment is to listen, collaborate, and keep students at the heart of every decision.","https://ballotpedia.org/Amanda_Brown_(Pasco_School_District_school_board_District_3,_Washington,_candidate_2025)"
